Id,Sales
1,5842.75435729
2,5842.87693464
3,5843.12208933
4,5843.18337801
5,5843.24466668
6,5843.30595535
7,5843.36724403
8,5843.4285327
9,5843.48982137
10,5843.55111005
11,5843.61239872
12,5843.67368739
13,5843.85755341
14,5843.91884208
15,5843.98013076
16,5844.04141943
17,5844.1027081
18,5844.16399678
19,5844.22528545
20,5844.3478628
21,5844.47044014
22,5844.53172882
23,5844.59301749
24,5844.65430616
25,5844.71559484
26,5844.83817218
27,5844.89946086
28,5845.0220382
29,5845.08332687
30,5845.14461555
31,5845.20590422
32,5845.26719289
33,5845.32848157
34,5845.45105891
35,5845.51234759
36,5845.57363626
37,5845.63492493
38,5845.69621361
39,5845.75750228
40,5845.81879095
41,5845.88007963
42,5845.9413683
43,5846.12523432
44,5846.24781166
45,5846.43167768
46,5846.49296636
47,5846.55425503
48,5846.6155437
49,5846.73812105
50,5846.79940972
51,5846.8606984
52,5846.92198707
53,5846.98327574
54,5847.04456442
55,5847.10585309
56,5847.16714176
57,5847.22843043
58,5847.28971911
59,5847.35100778
60,5847.41229645
61,5847.5348738
62,5847.59616247
63,5847.65745115
64,5847.71873982
65,5847.78002849
66,5847.84131717
67,5847.96389451
68,5848.14776053
69,5848.20904921
70,5848.27033788
71,5848.33162655
72,5848.39291522
73,5848.4542039
74,5848.69935859
75,5848.76064726
76,5848.82193594
77,5848.88322461
78,5848.94451328
79,5849.1283793
80,5849.25095665
81,5849.31224532
82,5849.37353399
83,5849.43482267
84,5849.49611134
85,5849.55740001
86,5849.61868869
87,5849.74126603
88,5849.86384338
89,5849.92513205
90,5849.98642073
91,5850.0477094
92,5850.17028675
93,5850.29286409
94,5850.41544144
95,5850.47673011
96,5850.53801878
97,5850.59930746
98,5850.66059613
99,5850.7218848
100,5850.78317348
101,5850.9670395
102,5851.02832817
103,5851.08961684
104,5851.21219419
105,5851.27348286
106,5851.33477154
107,5851.39606021
108,5851.45734888
109,5851.51863756
110,5851.57992623
111,5851.6412149
112,5851.70250357
113,5851.82508092
114,5851.88636959
115,5852.00894694
116,5852.07023561
117,5852.13152429
118,5852.19281296
119,5852.31539031
120,5852.37667898
121,5852.43796765
122,5852.49925633
123,5852.560545
124,5852.62183367
125,5852.74441102
126,5852.80569969
127,5852.86698836
128,5852.98956571
129,5853.05085438
130,5853.11214306
131,5853.17343173
132,5853.2347204
133,5853.35729775
134,5853.41858642
135,5853.4798751
136,5853.66374112
137,5853.72502979
138,5853.78631846
139,5853.84760713
140,5853.90889581
141,5853.97018448
142,5854.09276183
143,5854.1540505
144,5854.21533917
145,5854.27662785
146,5854.33791652
147,5854.39920519
148,5854.46049387
149,5854.52178254
150,5854.58307121
151,5854.64435989
152,5854.76693723
153,5854.88951458
154,5854.95080325
155,5855.01209192
156,5855.0733806
157,5855.19595794
158,5855.31853529
159,5855.37982396
160,5855.50240131
161,5855.56368998
162,5855.68626733
163,5855.747556
164,5855.80884468
165,5855.87013335
166,5855.93142202
167,5855.99271069
168,5856.05399937
169,5856.11528804
170,5856.17657671
171,5856.23786539
172,5856.42173141
173,5856.54430875
174,5856.60559743
175,5856.6668861
176,5856.72817477
177,5856.78946345
178,5856.85075212
179,5856.97332947
180,5857.03461814
181,5857.09590681
182,5857.27977283
183,5857.3410615
184,5857.46363885
185,5857.52492752
186,5857.5862162
187,5857.64750487
188,5857.70879354
189,5857.77008222
190,5857.83137089
191,5857.89265956
192,5857.95394824
193,5858.01523691
194,5858.07652558
195,5858.13781426
196,5858.19910293
197,5858.2603916
198,5858.32168027
199,5858.38296895
200,5858.50554629
201,5858.56683497
202,5858.75070099
203,5858.81198966
204,5858.93456701
205,5859.05714435
206,5859.11843303
207,5859.1797217
208,5859.36358772
209,5859.42487639
210,5859.48616506
211,5859.54745374
212,5859.67003108
213,5859.73131976
214,5859.79260843
215,5859.8538971
216,5859.91518578
217,5860.03776312
218,5860.0990518
219,5860.16034047
220,5860.28291782
221,5860.34420649
222,5860.40549516
223,5860.46678383
224,5860.71193853
225,5860.7732272
226,5860.83451587
227,5860.89580455
228,5860.95709322
229,5861.01838189
230,5861.07967057
231,5861.14095924
232,5861.20224791
233,5861.26353659
234,5861.32482526
235,5861.38611393
236,5861.44740261
237,5861.56997995
238,5861.63126862
239,5861.6925573
240,5861.75384597
241,5861.81513464
242,5861.93771199
243,5861.99900066
244,5862.06028934
245,5862.12157801
246,5862.24415536
247,5862.30544403
248,5862.48931005
249,5862.61188739
250,5862.67317607
251,5862.79575341
252,5862.85704209
253,5862.91833076
254,5862.97961943
255,5863.10219678
256,5863.16348545
257,5863.22477413
258,5863.2860628
259,5863.34735147
260,5863.40864015
261,5863.46992882
262,5863.53121749
263,5863.59250617
264,5863.65379484
265,5863.71508351
266,5863.77637218
267,5863.83766086
268,5863.89894953
269,5863.9602382
270,5864.02152688
271,5864.14410422
272,5864.2053929
273,5864.26668157
274,5864.32797024
275,5864.38925892
276,5864.45054759
277,5864.51183626
278,5864.63441361
279,5864.69570228
280,5864.8795683
281,5865.00214565
282,5865.06343432
283,5865.18601167
284,5865.24730034
285,5865.30858901
286,5865.36987769
287,5865.43116636
288,5865.49245503
289,5865.55374371
290,5865.7988984
291,5865.86018707
292,5865.92147574
293,5865.98276442
294,5866.16663044
295,5866.28920778
296,5866.35049646
297,5866.41178513
298,5866.4730738
299,5866.53436248
300,5866.65693982
301,5866.7182285
302,5866.77951717
303,5866.84080584
304,5866.90209452
305,5867.02467186
306,5867.08596053
307,5867.14724921
308,5867.3924039
309,5867.45369257
310,5867.51498125
311,5867.57626992
312,5867.63755859
313,5867.69884727
314,5867.76013594
315,5867.82142461
316,5867.88271329
317,5867.94400196
318,5868.00529063
319,5868.06657931
320,5868.12786798
321,5868.18915665
322,5868.25044532
323,5868.311734
324,5868.43431134
325,5868.49560002
326,5868.55688869
327,5868.67946604
328,5868.74075471
329,5868.80204338
330,5868.86333206
331,5868.92462073
332,5868.9859094
333,5869.04719808
334,5869.10848675
335,5869.16977542
336,5869.23106409
337,5869.29235277
338,5869.35364144
339,5869.66008481
340,5869.72137348
341,5869.78266215
342,5869.96652817
343,5870.02781685
344,5870.08910552
345,5870.15039419
346,5870.21168287
347,5870.27297154
348,5870.33426021
349,5870.39554888
350,5870.45683756
351,5870.5794149
352,5870.64070358
353,5870.70199225
354,5870.76328092
355,5870.8245696
356,5870.94714694
357,5871.06972429
358,5871.19230164
359,5871.25359031
360,5871.31487898
361,5871.37616766
362,5871.498745
363,5871.56003367
364,5871.62132235
365,5871.68261102
366,5871.80518837
367,5871.92776571
368,5872.17292041
369,5872.35678643
370,5872.4180751
371,5872.47936377
372,5872.54065244
373,5872.60194112
374,5872.72451846
375,5872.78580714
376,5872.84709581
377,5872.90838448
378,5873.03096183
379,5873.15353918
380,5873.21482785
381,5873.27611652
382,5873.3374052
383,5873.39869387
384,5873.45998254
385,5873.58255989
386,5873.64384856
387,5873.70513723
388,5873.76642591
389,5873.82771458
390,5873.88900325
391,5873.95029193
392,5874.0115806
393,5874.07286927
394,5874.19544662
395,5874.25673529
396,5874.31802397
397,5874.37931264
398,5874.44060131
399,5874.50188999
400,5874.56317866
401,5874.62446733
402,5874.685756
403,5874.80833335
404,5874.99219937
405,5875.05348804
406,5875.11477672
407,5875.17606539
408,5875.23735406
409,5875.29864274
410,5875.35993141
411,5875.42122008
412,5875.48250876
413,5875.54379743
414,5875.6050861
415,5875.66637478
416,5875.72766345
417,5875.78895212
418,5875.85024079
419,5875.91152947
420,5875.97281814
421,5876.09539549
422,5876.21797283
423,5876.27926151
424,5876.34055018
425,5876.40183885
426,5876.46312753
427,5876.5244162
428,5876.58570487
429,5876.64699355
