Id,Sales
1,6726.68115234
2,7931.34130859
3,9291.01269531
4,7428.64794922
5,6621.98046875
6,5797.32958984
7,8352.83203125
8,8248.94238281
9,5400.86523438
10,6215.25195312
11,7142.046875
12,7873.77832031
13,7068.98144531
14,8693.81542969
15,5968.47998047
16,5036.78662109
17,6290.35693359
18,9796.5625
19,11442.6259766
20,10528.1494141
21,7676.3203125
22,7308.796875
23,6347.29980469
24,4673.21142578
25,8328.33007812
26,9314.33886719
27,9508.89941406
28,6274.57861328
29,5419.87695312
30,5856.88427734
31,5478.44384766
32,10452.4697266
33,7513.28759766
34,5686.61181641
35,6063.37597656
36,7891.80761719
37,4403.75537109
38,7042.48632812
39,4592.05029297
40,6990.1796875
41,7128.34033203
42,5859.13037109
43,7456.91601562
44,6791.89306641
45,6667.14257812
46,5980.58984375
47,7167.99365234
48,11461.8496094
49,6462.99023438
50,8973.48144531
51,6736.70410156
52,9981.30761719
53,6952.3125
54,7879.78076172
55,4982.89306641
56,5484.58740234
57,7683.75537109
58,6337.62695312
59,9169.89160156
60,8210.02636719
61,5862.59082031
62,7928.61816406
63,6689.46923828
64,10644.2607422
65,4382.05761719
66,14187.2607422
67,5221.29296875
68,6279.01513672
69,7683.75537109
70,5729.79882812
71,6418.39013672
72,6791.74414062
73,7858.3828125
74,7898.1328125
75,5249.20751953
76,8173.2421875
77,7774.15527344
78,6751.8984375
79,4834.50488281
80,7298.72363281
81,10206.1191406
82,6999.30664062
83,4822.10205078
84,7183.26269531
85,6140.43457031
86,7037.27539062
87,7344.18408203
88,4276.18994141
89,8061.28417969
90,6474.21337891
91,7491.78417969
92,6483.55664062
93,4728.19238281
94,6131.73730469
95,5490.75390625
96,7911.47070312
97,7140.90917969
98,5294.82275391
99,4856.47314453
100,6461.25195312
101,6174.77539062
102,5767.99169922
103,8220.51855469
104,7021.60644531
105,8015.16113281
106,5927.80664062
107,5002.44238281
108,7072.87939453
109,8163.05175781
110,8990.36621094
111,8329.83984375
112,8292.62109375
113,6202.18212891
114,8725.09960938
115,6027.45214844
116,8189.65283203
117,9333.58300781
118,7075.18066406
119,10234.2802734
120,8293.69726562
121,8270.64648438
122,6473.92285156
123,7471.04736328
124,8405.66699219
125,6862.49462891
126,4516.85449219
127,7382.73486328
128,8195.94335938
129,6518.89648438
130,9234.47167969
131,6622.82666016
132,7377.22314453
133,5835.46582031
134,6078.69287109
135,5632.47753906
136,7715.68701172
137,7706.515625
138,7355.94091797
139,5679.48339844
140,5278.85205078
141,7197.96044922
142,4180.44970703
143,6567.21923828
144,5396.43652344
145,9488.64160156
146,7524.63330078
147,6649.3984375
148,8993.51367188
149,6188.46044922
150,5027.53222656
151,10854.4580078
152,7544.39550781
153,7615.72509766
154,7595.0078125
155,5787.00390625
156,6394.05224609
157,6116.94628906
158,7875.69335938
159,12139.1914062
160,6502.49560547
161,3498.22045898
162,5292.16699219
163,8834.65625
164,9283.83789062
165,6633.2578125
166,7685.86621094
167,5115.25146484
168,5587.58203125
169,3578.33007812
170,6518.64160156
171,6480.8671875
172,6985.90039062
173,7957.68798828
174,6270.40869141
175,8222.72949219
176,9356.87304688
177,8329.49023438
178,5040.0546875
179,9264.97851562
180,11366.3232422
181,6527.76269531
182,9708.05957031
183,5540.19042969
184,6889.60693359
185,4607.46386719
186,7610.85986328
187,5694.72119141
188,9045.43945312
189,7630.63037109
190,9550.0625
191,8916.65234375
192,7042.48632812
193,8553.40917969
194,18887.7734375
195,11196.6015625
196,6736.70410156
197,3151.40405273
198,6521.80078125
199,10159.2978516
200,5923.26806641
201,9615.09082031
202,19567.8789062
203,3895.00097656
204,5597.8671875
205,10109.5478516
206,5392.61865234
207,10225.6064453
208,7420.67382812
209,7617.41064453
210,3711.14135742
211,7148.83496094
212,6805.63427734
213,7478.58349609
214,8851.9140625
215,6718.52490234
216,6625.18945312
217,7543.37402344
218,5447.63183594
219,5466.55810547
220,8006.09912109
221,6128.04785156
222,6614.75830078
223,7784.23144531
224,6015.87304688
225,5520.62451172
226,7935.67724609
227,7527.97851562
228,8624.56445312
229,5782.93701172
230,8249.20996094
231,6434.24755859
232,3911.00683594
233,6985.96044922
234,6645.91113281
235,5697.17138672
236,4779.74658203
237,9234.47167969
238,7834.56884766
239,9260.57910156
240,7468.29736328
241,6097.4609375
242,5751.65234375
243,4744.26660156
244,10525.5693359
245,5505.46435547
246,8104.17822266
247,15143.4160156
248,7796.10498047
249,6667.14257812
