Id,Sales
1,4230.32
2,7525.3
3,9541.38
4,7574.93
5,6899.44
6,5904.93
7,7866.94
8,8284.52
9,5426.76
10,5714.5
11,7570.56
12,7769.83
13,7107.08
14,8296.07
15,5702.22
16,4446.7
17,5717.48
18,9411.16
19,10632.78
20,9764.43
21,7877.64
22,5347.02
23,6391.02
24,4198.75
25,8070.95
26,10921.71
27,8392.47
28,5757.64
29,5547.75
30,4684.96
31,5578.75
32,10273.6
33,7300.96
34,5619.65
35,4999.52
36,7471.56
37,3751.36
38,7414.1
39,4730.59
40,6934.7
41,6837.84
42,5707.15
43,7802.06
44,7121.13
45,4711.28
46,6711.26
47,8158.64
48,12467.85
49,5975.1
50,8276.78
51,7503.92
52,9649.93
53,6596.74
54,9429.51
55,4718.82
56,4946.53
57,6303.53
58,6642.98
59,8918.74
60,7590.44
61,5851.86
62,7762.88
63,6332.6
64,10855.0
65,4301.68
66,13208.91
67,4933.12
68,5811.53
69,8351.91
70,5482.19
71,6330.3
72,6422.52
73,7786.89
74,5752.42
75,5132.94
76,7158.3
77,8164.16
78,7240.39
79,5048.31
80,7220.23
81,10259.04
82,6846.44
83,4917.22
84,7186.81
85,6104.16
86,5920.85
87,7467.73
88,3961.44
89,8494.3
90,5976.47
91,7000.95
92,7636.59
93,4143.39
94,7074.17
95,5346.95
96,8142.96
97,8205.25
98,5428.16
99,5163.01
100,7263.53
101,6065.68
102,5639.82
103,7309.0
104,6137.34
105,7548.56
106,5798.06
107,4457.35
108,6765.41
109,7893.12
110,8189.41
111,8584.95
112,8343.45
113,5360.64
114,8965.16
115,5718.38
116,7942.04
117,9713.42
118,6063.85
119,10008.37
120,7799.0
121,7506.2
122,6039.24
123,7316.63
124,8656.62
125,6995.31
126,3683.03
127,5782.46
128,7839.03
129,6093.3
130,4784.74
131,8531.71
132,6374.66
133,5669.29
134,6158.46
135,5524.54
136,7453.82
137,7202.75
138,6914.54
139,5655.74
140,4507.73
141,6660.07
142,3486.37
143,6507.33
144,5439.23
145,8477.31
146,6709.48
147,6532.55
148,10323.44
149,5108.08
150,5610.27
151,10298.2
152,7097.06
153,8101.28
154,7619.72
155,6082.36
156,6224.78
157,5238.01
158,8204.39
159,12186.78
160,6931.73
161,3280.44
162,4878.65
163,8758.79
164,9236.66
165,6381.47
166,7184.91
167,5035.63
168,5299.98
